,Culture Test ID,Culture Sample 1 Timestamp,Beach,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Latitude,Longitude,Sample Date,Sample Time
2231,113666.0,2016-08-04 08:30:00,Humboldt,1.0,1.0,1.0,41.90643,-87.703717,2016-08-04,08:30:00
2374,112689.0,2016-06-01 07:15:00,Calumet,629.0,1300.0,904.3,41.7142,-87.5299,2016-06-01,07:15:00
2375,112669.0,2016-06-01 08:00:00,Calumet,345.0,517.0,422.3,41.7142,-87.5299,2016-06-01,08:00:00
4980,109008.0,2013-05-26 00:00:00,57th Street,17.0,20.0,18.4,41.7911,-87.5797,2013-05-26,00:00:00
4983,93134.0,2015-07-07 00:00:00,Leone,727.0,727.0,727.0,42.0131,-87.6635,2015-07-07,00:00:00
4985,98783.0,2007-07-23 00:00:00,North Shore,77.6,60.5,68.5,42.0027,-87.6564,2007-07-23,00:00:00
4986,92879.0,2015-07-02 00:00:00,57th Street,16.0,17.0,16.5,41.7911,-87.5797,2015-07-02,00:00:00
4987,96678.0,2011-07-20 00:00:00,Rogers,4.1,1.0,2.0,42.0213,-87.6666,2011-07-20,00:00:00
4988,98118.0,2007-06-05 00:00:00,South Shore,145.0,191.8,166.8,41.7689,-87.5636,2007-06-05,00:00:00
4989,104168.0,2006-06-12 00:00:00,Ohio Street,1.0,1.0,1.0,41.8935,-87.6152,2006-06-12,00:00:00
4990,113947.0,2016-08-22 10:15:00,Osterman,4.0,4.0,4.0,41.9877,-87.6545,2016-08-22,10:15:00
4991,100018.0,2008-06-09 00:00:00,12th Street,10.4,24.1,15.8,41.8638,-87.6083,2008-06-09,00:00:00
4992,93217.0,2014-08-19 00:00:00,Leone,4.0,18.0,8.5,42.0131,-87.6635,2014-08-19,00:00:00
4993,105382.0,2014-07-15 00:00:00,63rd Street,1414.0,1300.0,1355.8,41.7827,-87.5748,2014-07-15,00:00:00
4994,89032.0,2009-08-13 00:00:00,Rogers,12.0,8.6,10.2,42.0213,-87.6666,2009-08-13,00:00:00
4996,91172.0,2009-07-22 00:00:00,Osterman,25.3,24.1,24.7,41.9877,-87.6545,2009-07-22,00:00:00
4997,102018.0,2008-07-03 00:00:00,Oak Street,26.9,49.6,36.5,41.9032,-87.6235,2008-07-03,00:00:00
4998,107688.0,2013-05-29 00:00:00,Howard,7.5,5.2,6.2,42.0188,-87.6663,2013-05-29,00:00:00
4999,95242.0,2015-06-02 00:00:00,South Shore,291.0,328.0,308.9,41.7689,-87.5636,2015-06-02,00:00:00
5001,104629.0,2006-06-16 00:00:00,Rogers,22.8,17.3,19.9,42.0213,-87.6666,2006-06-16,00:00:00
