,DNA Test ID,DNA Sample Timestamp,Beach,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean,Latitude,Longitude,Sample Date,Sample Time
3,10601.0,2019-06-03 12:08:00,63rd Street,15.0,121.0,42.6,41.7827,-87.5748,2019-06-03,12:08:00
4,10600.0,2019-06-03 12:08:00,South Shore,1006.0,16.0,126.9,41.7689,-87.5636,2019-06-03,12:08:00
5,10582.0,2019-06-03 12:10:00,North Avenue,69.0,8.0,23.5,41.9148,-87.6273,2019-06-03,12:10:00
6,10646.0,2019-06-03 12:12:00,Howard,90.0,169.0,123.3,42.0188,-87.6663,2019-06-03,12:12:00
7,10599.0,2019-06-03 12:08:00,Rainbow,150.0,245.0,191.7,41.758,-87.551,2019-06-03,12:08:00
8,10603.0,2019-06-03 12:09:00,Ohio Street,32.0,3.0,9.8,41.8935,-87.6152,2019-06-03,12:09:00
9,10605.0,2019-06-03 12:07:00,Calumet,142.0,81.0,107.2,41.7142,-87.5299,2019-06-03,12:07:00
11,10625.0,2019-06-03 12:11:00,Osterman,3.0,7.0,4.6,41.9877,-87.6545,2019-06-03,12:11:00
12,10584.0,2019-06-03 12:10:00,Foster,12.0,8.0,9.8,41.9785,-87.6515,2019-06-03,12:10:00
13,10604.0,2019-06-03 12:10:00,Oak Street,12.0,4.0,6.9,41.9032,-87.6235,2019-06-03,12:10:00
14,10581.0,2019-06-03 12:09:00,12th Street,246.0,125.0,175.4,41.8638,-87.6083,2019-06-03,12:09:00
15,10580.0,2019-06-03 12:09:00,Oakwood,13.0,4.0,7.2,41.8211,-87.5976,2019-06-03,12:09:00
16,10645.0,2019-06-03 12:12:00,Marion Mahony Griffin (Jarvis),77.0,6.0,21.5,42.0161,-87.6647,2019-06-03,12:12:00
17,10627.0,2019-06-03 12:11:00,Leone,81.0,218.0,132.9,42.0131,-87.6635,2019-06-03,12:11:00
18,10626.0,2019-06-03 12:11:00,Hartigan (Albion),34.0,17.0,24.0,42.0027,-87.6564,2019-06-03,12:11:00
19,10602.0,2019-06-03 12:09:00,Margaret T Burroughs (31st),32.0,12.0,19.6,41.8393,-87.6072,2019-06-03,12:09:00
20,10579.0,2019-06-03 12:08:00,57th Street,10.0,3.0,5.5,41.7911,-87.5797,2019-06-03,12:08:00
26,10628.0,2019-06-03 12:12:00,Rogers,4.0,8.0,5.7,42.0213,-87.6666,2019-06-03,12:12:00
27,10583.0,2019-06-03 12:10:00,Montrose,10.0,39.0,19.7,41.9655,-87.6385,2019-06-03,12:10:00
29,10631.0,2019-06-04 12:13:00,Oak Street,76.0,64.0,69.7,41.9032,-87.6235,2019-06-04,12:13:00
30,10666.0,2019-06-04 12:12:00,63rd Street,118.0,125.0,121.4,41.7827,-87.5748,2019-06-04,12:12:00
32,10667.0,2019-06-04 12:12:00,57th Street,332.0,396.0,362.6,41.7911,-87.5797,2019-06-04,12:12:00
33,10635.0,2019-06-04 12:15:00,Leone,57.0,13.0,27.2,42.0131,-87.6635,2019-06-04,12:15:00
34,10668.0,2019-06-04 12:12:00,Oakwood,12.0,4.0,6.9,41.8211,-87.5976,2019-06-04,12:12:00
35,10675.0,2019-06-04 12:16:00,Howard,58.0,4.0,15.2,42.0188,-87.6663,2019-06-04,12:16:00
