,Date,Rainfall (In)
163,2008-07-01,0.0
451,2008-07-02,0.0
11,2008-07-03,0.0
669,2008-07-04,0.0
703,2008-07-05,0.0
423,2008-07-07,0.0
516,2008-07-08,0.0
97,2008-07-09,0.0
452,2008-07-10,0.0
54,2008-07-11,0.0
464,2008-07-12,0.0
738,2008-07-13,0.0
401,2008-07-14,0.0
222,2008-07-15,0.0
200,2008-07-16,0.0
117,2008-07-17,0.0
545,2008-07-18,0.0
332,2008-07-21,0.0
679,2008-07-22,0.0
29,2008-07-23,0.0
142,2008-07-24,0.0
165,2008-07-25,0.0
187,2008-07-26,0.0
437,2008-07-28,0.0
344,2008-07-29,0.0
321,2008-07-30,0.0
291,2008-07-31,0.0
339,2008-08-01,0.0
768,2008-08-02,0.0
741,2008-08-03,0.0
37,2008-08-04,0.0
465,2008-08-05,0.0
38,2008-08-06,0.0
295,2008-08-07,0.0
633,2008-08-08,0.0
555,2008-08-09,0.0
688,2008-08-11,0.0
224,2008-08-12,0.0
148,2008-08-13,0.0
349,2008-08-14,0.0
420,2008-08-15,0.0
453,2008-08-16,0.0
403,2008-08-18,0.0
36,2008-08-19,0.0
462,2008-08-20,0.0
123,2008-08-21,0.0
378,2008-08-22,0.0
302,2008-08-25,0.0
565,2008-08-26,0.0
567,2008-08-27,0.0
168,2008-08-28,0.0
103,2008-08-29,0.0
761,2009-05-11,0.0
551,2009-05-19,0.0
527,2009-05-20,0.0
684,2009-05-21,0.0
238,2009-05-22,0.0
271,2009-05-23,0.0
346,2009-05-26,0.0
260,2009-05-27,0.0
365,2009-05-28,0.0
233,2009-05-29,0.0
201,2009-06-01,0.0
110,2009-06-02,0.0
712,2009-06-03,0.0
25,2009-06-04,0.0
234,2009-06-05,0.0
122,2009-06-08,0.0
399,2009-06-09,0.0
428,2009-06-10,0.0
366,2009-06-11,0.0
654,2009-06-12,0.0
608,2009-06-15,0.0
144,2009-06-16,0.0
701,2009-06-17,0.0
112,2009-06-18,0.0
133,2009-06-19,0.3
177,2009-06-20,0.0
461,2009-06-22,0.0
287,2009-06-23,0.0
614,2009-06-24,0.0
463,2009-06-25,0.0
374,2009-06-26,0.0
717,2009-06-27,0.0
722,2009-06-28,0.0
393,2009-06-29,0.0
408,2009-06-30,0.0
444,2009-07-01,0.0
327,2009-07-02,0.0
560,2009-07-06,0.0
128,2009-07-07,0.0
73,2009-07-08,0.0
80,2009-07-09,0.0
519,2009-07-10,0.0
254,2009-07-13,0.0
124,2009-07-14,0.0
360,2009-07-15,0.0
269,2009-07-16,0.0
239,2009-07-17,0.0
232,2009-07-18,0.0
530,2009-07-20,0.0
282,2009-07-21,0.0
10,2009-07-22,0.0
561,2009-07-23,0.0
99,2009-07-24,0.0
19,2009-07-27,0.0
20,2009-07-28,0.0
33,2009-07-29,0.0
95,2009-07-30,0.0
407,2009-07-31,0.0
380,2009-08-03,0.0
450,2009-08-04,0.0
355,2009-08-05,0.0
466,2009-08-06,0.0
175,2009-08-07,0.0
595,2009-08-08,0.0
352,2009-08-10,0.0
182,2009-08-11,0.0
347,2009-08-12,0.0
9,2009-08-13,0.0
350,2009-08-14,0.0
574,2009-08-17,0.0
524,2009-08-18,0.0
130,2009-08-19,0.0
686,2009-08-20,0.0
162,2009-08-21,0.0
236,2009-08-24,0.0
483,2009-08-25,0.0
55,2009-08-26,0.0
83,2009-08-27,0.0
538,2009-08-28,0.0
381,2009-08-31,0.0
544,2009-09-01,0.0
695,2009-09-02,0.0
422,2009-09-03,0.0
119,2010-05-25,0.0
585,2010-05-26,0.0
619,2010-05-27,0.0
501,2010-05-28,0.0
427,2010-06-01,0.0
646,2010-06-02,0.1
682,2010-06-03,0.0
88,2010-06-04,0.0
389,2010-06-07,0.0
662,2010-06-08,0.0
618,2010-06-09,0.0
685,2010-06-10,0.0
645,2010-06-11,0.0
388,2010-06-14,0.0
72,2010-06-15,0.0
496,2010-06-16,0.0
358,2010-06-17,0.0
338,2010-06-18,0.0
513,2010-06-21,0.0
261,2010-06-22,0.0
301,2010-06-23,0.0
580,2010-06-24,0.0
558,2010-06-25,0.0
652,2010-06-28,0.0
443,2010-06-29,0.0
115,2010-06-30,0.0
229,2010-07-01,0.0
469,2010-07-02,0.0
213,2010-07-06,0.0
351,2010-07-07,0.0
104,2010-07-08,0.1
478,2010-07-09,0.0
179,2010-07-10,0.0
211,2010-07-12,0.0
434,2010-07-13,0.0
24,2010-07-14,0.0
267,2010-07-15,0.0
523,2010-07-16,0.0
243,2010-07-19,0.0
655,2010-07-20,0.0
81,2010-07-21,0.0
74,2010-07-22,0.0
638,2010-07-23,0.0
125,2010-07-26,0.0
63,2010-07-27,0.0
683,2010-07-28,0.0
372,2010-07-29,0.0
22,2010-07-30,0.0
740,2010-07-31,0.0
98,2010-08-02,0.0
416,2010-08-03,0.0
281,2010-08-04,0.0
216,2010-08-05,0.0
145,2010-08-06,0.0
601,2010-08-07,0.0
640,2010-08-09,0.0
510,2010-08-10,0.0
31,2010-08-11,0.0
620,2010-08-12,0.0
594,2010-08-13,0.0
56,2010-08-16,0.0
653,2010-08-17,0.0
647,2010-08-18,0.0
