,Date,Rainfall (In)
390,2015-05-26,0.0
274,2015-05-27,0.0
406,2015-05-28,0.0
200,2015-06-01,0.0
178,2015-06-02,0.0
430,2015-06-03,0.0
392,2015-06-04,0.0
409,2015-06-09,0.0
420,2015-06-10,0.0
283,2015-06-11,0.0
179,2015-06-12,0.0
323,2015-06-16,0.0
419,2015-06-17,0.0
325,2015-06-18,0.0
378,2015-06-19,0.0
388,2015-06-23,0.0
366,2015-06-24,0.0
423,2015-06-25,0.0
428,2015-06-26,0.0
331,2015-06-30,0.0
265,2015-07-01,0.0
408,2015-07-02,0.0
421,2015-07-07,0.0
191,2015-07-08,0.0
427,2015-07-09,0.0
316,2015-07-10,0.0
412,2015-07-14,0.0
396,2015-07-15,0.0
363,2015-07-16,0.0
205,2015-07-17,0.0
411,2015-07-21,0.0
328,2015-07-22,0.0
321,2015-07-23,0.0
431,2015-07-24,0.0
367,2015-07-28,0.0
395,2015-07-29,0.0
416,2015-07-30,0.0
429,2015-07-31,0.0
362,2015-08-04,0.0
359,2015-08-05,0.0
389,2015-08-06,0.0
337,2015-08-07,0.0
394,2015-08-11,0.0
307,2015-08-12,0.0
432,2015-08-13,0.0
398,2015-08-14,0.0
415,2015-08-18,0.0
314,2015-08-19,0.0
426,2015-08-20,0.0
385,2015-08-21,0.0
233,2015-08-25,0.0
422,2015-08-26,0.0
361,2015-08-27,0.0
341,2015-08-28,0.0
106,2016-05-26,0.0
94,2016-06-01,0.0
87,2016-06-02,0.0
140,2016-06-03,0.0
133,2016-06-04,0.0
130,2016-06-05,0.0
98,2016-06-08,0.0
122,2016-06-09,0.0
86,2016-06-10,0.0
109,2016-06-11,0.0
81,2016-06-12,0.0
111,2016-06-15,0.0
128,2016-06-16,0.0
134,2016-06-17,0.0
137,2016-06-18,0.0
105,2016-06-19,0.0
120,2016-06-22,0.0
77,2016-06-23,0.0
95,2016-06-24,0.0
131,2016-06-25,0.0
132,2016-06-26,0.0
92,2016-06-29,0.0
80,2016-06-30,0.0
129,2016-07-01,0.0
139,2016-07-02,0.0
125,2016-07-03,0.0
82,2016-07-06,0.0
141,2016-07-07,0.0
99,2016-07-08,0.0
83,2016-07-09,0.0
107,2016-07-10,0.0
