,Culture Test ID,Culture Sample 1 Timestamp,Beach,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Latitude,Longitude
2231,113666.0,08/04/2016 08:30:00 AM,Humboldt,1.0,1.0,1.0,41.90643,-87.703717
2374,112689.0,06/01/2016 07:15:00 AM,Calumet,629.0,1300.0,904.3,41.7142,-87.5299
2375,112669.0,06/01/2016 08:00:00 AM,Calumet,345.0,517.0,422.3,41.7142,-87.5299
4980,109008.0,05/26/2013 12:00:00 AM,57th Street,17.0,20.0,18.4,41.7911,-87.5797
4983,93134.0,07/07/2015 12:00:00 AM,Leone,727.0,727.0,727.0,42.0131,-87.6635
4985,98783.0,07/23/2007 12:00:00 AM,North Shore,77.6,60.5,68.5,42.0027,-87.6564
4986,92879.0,07/02/2015 12:00:00 AM,57th Street,16.0,17.0,16.5,41.7911,-87.5797
4987,96678.0,07/20/2011 12:00:00 AM,Rogers,4.1,1.0,2.0,42.0213,-87.6666
4988,98118.0,06/05/2007 12:00:00 AM,South Shore,145.0,191.8,166.8,41.7689,-87.5636
4989,104168.0,06/12/2006 12:00:00 AM,Ohio Street,1.0,1.0,1.0,41.8935,-87.6152
4990,113947.0,08/22/2016 10:15:00 AM,Osterman,4.0,4.0,4.0,41.9877,-87.6545
4991,100018.0,06/09/2008 12:00:00 AM,12th Street,10.4,24.1,15.8,41.8638,-87.6083
4992,93217.0,08/19/2014 12:00:00 AM,Leone,4.0,18.0,8.5,42.0131,-87.6635
4993,105382.0,07/15/2014 12:00:00 AM,63rd Street,1414.0,1300.0,1355.8,41.7827,-87.5748
4994,89032.0,08/13/2009 12:00:00 AM,Rogers,12.0,8.6,10.2,42.0213,-87.6666
4996,91172.0,07/22/2009 12:00:00 AM,Osterman,25.3,24.1,24.7,41.9877,-87.6545
4997,102018.0,07/03/2008 12:00:00 AM,Oak Street,26.9,49.6,36.5,41.9032,-87.6235
4998,107688.0,05/29/2013 12:00:00 AM,Howard,7.5,5.2,6.2,42.0188,-87.6663
4999,95242.0,06/02/2015 12:00:00 AM,South Shore,291.0,328.0,308.9,41.7689,-87.5636
5001,104629.0,06/16/2006 12:00:00 AM,Rogers,22.8,17.3,19.9,42.0213,-87.6666
5003,108379.0,06/09/2014 12:00:00 AM,Osterman,167.0,147.0,156.7,41.9877,-87.6545
5004,87383.0,06/25/2015 12:00:00 AM,12th Street,378.0,548.0,455.1,41.8638,-87.6083
5006,108788.0,07/26/2014 12:00:00 AM,57th Street,14.0,10.0,11.8,41.7911,-87.5797
5007,108074.0,06/12/2015 12:00:00 AM,63rd Street,137.9,22.8,56.1,41.7827,-87.5748
5008,112847.0,06/10/2016 08:50:00 AM,Ohio Street,2420.0,1986.0,2192.3,41.8935,-87.6152
5009,113937.0,08/22/2016 11:00:00 AM,Ohio Street,1.0,2.0,1.4,41.8935,-87.6152
5013,91287.0,07/27/2009 12:00:00 AM,Osterman,3.0,24.1,8.5,41.9877,-87.6545
5014,99421.0,07/17/2007 12:00:00 AM,57th Street,365.4,178.5,255.4,41.7911,-87.5797
5015,91299.0,07/28/2009 12:00:00 AM,South Shore,12.2,79.4,31.1,41.7689,-87.5636
5016,93511.0,07/14/2015 12:00:00 AM,Oakwood,48.0,33.0,39.8,41.8211,-87.5976
5017,104061.0,06/07/2006 12:00:00 AM,Howard,259.5,416.0,328.6,42.0188,-87.6663
5018,88547.0,07/30/2010 12:00:00 AM,Oakwood,238.2,290.9,263.2,41.8211,-87.5976
5019,112275.0,06/12/2014 12:00:00 AM,Oak Street,15.0,8.0,11.0,41.9032,-87.6235
5020,90751.0,07/14/2010 12:00:00 AM,Calumet,65.7,48.8,56.6,41.7142,-87.5299
5022,101927.0,06/04/2009 12:00:00 AM,Lane,11.9,8.6,10.1,41.9877,-87.6545
5023,105211.0,06/04/2012 12:00:00 AM,Rogers,26.2,27.5,26.8,42.0213,-87.6666
5024,113045.0,06/23/2016 05:44:00 AM,Montrose Dog,1986.0,1414.0,1675.8,41.96869,-87.642617
5025,113407.0,07/19/2016 10:15:00 AM,12th Street,435.0,461.0,447.8,41.8638,-87.6083
5026,100189.0,07/23/2008 12:00:00 AM,Loyola,435.2,290.9,355.8,42.0131,-87.6635
5027,103919.0,05/29/2007 12:00:00 AM,South Shore,16.0,6.3,10.0,41.7689,-87.5636
5028,103887.0,09/01/2006 12:00:00 AM,Loyola,158.5,193.5,175.1,42.0131,-87.6635
5029,97594.0,06/14/2011 12:00:00 AM,12th Street,18.5,47.1,29.5,41.8638,-87.6083
5031,89622.0,08/11/2010 12:00:00 AM,Foster,435.2,365.4,398.8,41.9785,-87.6515
5032,112764.0,06/06/2016 11:35:00 AM,Oak Street,2.0,4.0,2.8,41.9032,-87.6235
5033,98660.0,06/13/2007 12:00:00 AM,Loyola,88.9,57.3,71.4,42.0131,-87.6635
5034,91333.0,07/29/2009 12:00:00 AM,Osterman,50.4,48.1,49.2,41.9877,-87.6545
5035,103085.0,06/27/2007 12:00:00 AM,Juneway,3.1,2.0,2.5,42.0224,-87.6674
5036,107342.0,07/02/2012 12:00:00 AM,Montrose Dog,1986.3,1986.3,1986.3,41.96869,-87.642617
5037,96461.0,07/11/2011 12:00:00 AM,Rainbow,2420.0,2420.0,2420.0,41.758,-87.551
5038,102155.0,08/19/2008 12:00:00 AM,Rogers,32.3,40.4,36.1,42.0213,-87.6666
5039,102940.0,08/23/2006 12:00:00 AM,North Avenue,111.2,78.0,93.1,41.9148,-87.6273
5040,99727.0,06/01/2008 12:00:00 AM,Montrose,59.4,111.9,81.5,41.9655,-87.6385
5041,100904.0,08/04/2008 12:00:00 AM,Montrose,1299.7,1299.7,1299.7,41.9655,-87.6385
5042,100941.0,08/06/2008 12:00:00 AM,63rd Street,13.5,18.7,15.9,41.7827,-87.5748
5044,111688.0,05/27/2014 12:00:00 AM,Rainbow,4.0,435.0,41.7,41.758,-87.551
5045,108071.0,06/06/2014 12:00:00 AM,Calumet,27.0,43.0,34.1,41.7142,-87.5299
5046,104992.0,06/20/2013 12:00:00 AM,Ohio Street,30.0,12.0,19.0,41.8935,-87.6152
5048,106709.0,06/26/2014 12:00:00 AM,Osterman,25.0,41.0,32.0,41.9877,-87.6545
5049,87331.0,06/22/2015 12:00:00 AM,Howard,2.0,20.0,6.3,42.0188,-87.6663
5050,96266.0,08/12/2011 12:00:00 AM,57th Street,13.4,4.1,7.4,41.7911,-87.5797
5051,113267.0,07/09/2016 10:45:00 AM,Rainbow,173.0,147.0,159.5,41.758,-87.551
5053,107885.0,08/06/2013 12:00:00 AM,Howard,2.0,8.0,4.0,42.0188,-87.6663
5054,112843.0,06/10/2016 09:20:00 AM,57th Street,291.0,58.0,129.9,41.7911,-87.5797
5055,106410.0,06/19/2012 12:00:00 AM,Calumet,125.9,214.3,164.3,41.7142,-87.5299
5056,97656.0,07/28/2011 12:00:00 AM,North Avenue,86.0,83.9,84.9,41.9148,-87.6273
5058,95597.0,06/08/2015 12:00:00 AM,57th Street,1.0,1.0,1.0,41.7911,-87.5797
5059,95686.0,08/28/2015 12:00:00 AM,Oak Street,5.0,2.0,3.2,41.9032,-87.6235
5061,96519.0,07/13/2011 12:00:00 AM,Osterman,62.2,101.0,79.3,41.9877,-87.6545
5062,110705.0,08/08/2012 12:00:00 AM,63rd Street,35.9,55.4,44.6,41.7827,-87.5748
5063,98800.0,07/24/2007 12:00:00 AM,North Avenue,15.6,14.5,15.0,41.9148,-87.6273
5065,100651.0,08/14/2007 12:00:00 AM,63rd Street,365.4,344.5,354.8,41.7827,-87.5748
5067,103196.0,05/31/2006 12:00:00 AM,North Shore,6.3,9.8,7.9,42.0027,-87.6564
5068,107159.0,06/02/2014 12:00:00 AM,South Shore,12.0,13.0,12.5,41.7689,-87.5636
5069,112853.0,06/10/2016 07:30:00 AM,Osterman,1.0,1.0,1.0,41.9877,-87.6545
5070,98077.0,08/15/2006 12:00:00 AM,Oak Street,60.9,31.7,43.9,41.9032,-87.6235
5072,100032.0,07/11/2008 12:00:00 AM,12th Street,65.7,33.2,46.7,41.8638,-87.6083
5073,97994.0,08/10/2006 12:00:00 AM,Rainbow,49.5,96.0,68.9,41.758,-87.551
5074,98174.0,06/07/2007 12:00:00 AM,Foster,38.4,27.2,32.3,41.9785,-87.6515
5075,92087.0,08/26/2009 12:00:00 AM,Oakwood,29.5,11.0,18.0,41.8211,-87.5976
5076,89720.0,08/16/2010 12:00:00 AM,North Avenue,11.9,1.0,3.4,41.9148,-87.6273
5077,93270.0,07/08/2015 12:00:00 AM,Montrose,980.0,2420.0,1540.0,41.9655,-87.6385
5079,111745.0,05/29/2014 12:00:00 AM,Osterman,77.0,210.0,127.2,41.9877,-87.6545
5080,97130.0,07/27/2012 12:00:00 AM,Howard,15.8,16.1,15.9,42.0188,-87.6663
5081,107279.0,06/29/2012 12:00:00 AM,Osterman,461.1,686.7,562.7,41.9877,-87.6545
5082,113828.0,08/15/2016 11:35:00 AM,North Avenue,61.0,47.0,53.5,41.9148,-87.6273
5083,113476.0,07/22/2016 06:59:00 AM,Osterman,73.0,30.0,46.8,41.9877,-87.6545
5084,96509.0,07/13/2011 12:00:00 AM,Oakwood,816.4,579.4,687.8,41.8211,-87.5976
5085,88489.0,07/27/2010 12:00:00 AM,12th Street,73.3,101.4,86.2,41.8638,-87.6083
5086,100824.0,06/20/2008 12:00:00 AM,South Shore,3.1,4.1,3.6,41.7689,-87.5636
5087,89873.0,08/24/2010 12:00:00 AM,63rd Street,5.2,7.5,6.2,41.7827,-87.5748
5091,113858.0,08/16/2016 10:25:00 AM,Howard,53.0,48.0,50.4,42.0188,-87.6663
5092,107988.0,08/16/2013 12:00:00 AM,Montrose,50.0,40.0,44.7,41.9655,-87.6385
5093,96798.0,07/26/2011 12:00:00 AM,Ohio Street,16.0,7.3,10.8,41.8935,-87.6152
5094,110805.0,08/12/2012 12:00:00 AM,North Avenue,60.2,63.8,62.0,41.9148,-87.6273
5095,112972.0,06/20/2016 09:15:00 AM,Rainbow,32.0,228.0,85.4,41.758,-87.551
5096,94622.0,05/20/2015 12:00:00 AM,Calumet,649.0,488.0,562.8,41.7142,-87.5299
5098,110425.0,07/07/2014 12:00:00 AM,Montrose Dog,479.0,727.0,590.1,41.96869,-87.642617
5099,98355.0,08/17/2006 12:00:00 AM,Fargo,20.3,25.3,22.7,42.0161,-87.6647
5100,99126.0,08/07/2007 12:00:00 AM,Lane,116.9,116.2,116.5,41.9877,-87.6545
5101,104904.0,08/08/2006 12:00:00 AM,Juneway,112.4,99.0,105.5,42.0224,-87.6674
5102,87492.0,06/15/2010 12:00:00 AM,Howard,261.3,145.5,195.0,42.0188,-87.6663
5103,91758.0,07/08/2009 12:00:00 AM,57th Street,190.4,172.3,181.1,41.7911,-87.5797
5104,88385.0,07/22/2010 12:00:00 AM,63rd Street,29.1,25.3,27.1,41.7827,-87.5748
5105,96181.0,08/08/2011 12:00:00 AM,12th Street,770.1,248.1,437.1,41.8638,-87.6083
5106,101508.0,06/30/2008 12:00:00 AM,North Avenue,98.3,104.6,101.4,41.9148,-87.6273
5107,98003.0,08/10/2006 12:00:00 AM,North Avenue,22.8,13.5,17.5,41.9148,-87.6273
5108,98044.0,08/14/2006 12:00:00 AM,Calumet,125.9,131.4,128.6,41.7142,-87.5299
5109,113866.0,08/17/2016 07:24:00 AM,Oakwood,45.0,40.0,42.4,41.8211,-87.5976
5110,113994.0,08/24/2016 10:00:00 AM,Juneway,152.0,2420.0,606.5,42.0224,-87.6674
5111,111241.0,06/25/2013 12:00:00 AM,Juneway,23.0,23.0,23.0,42.0224,-87.6674
5112,110005.0,07/10/2012 12:00:00 AM,57th Street,165.8,110.6,135.4,41.7911,-87.5797
5113,91779.0,07/09/2009 12:00:00 AM,South Shore,131.4,77.6,101.0,41.7689,-87.5636
5114,103228.0,06/01/2006 12:00:00 AM,Juneway,12.1,35.0,20.6,42.0224,-87.6674
5115,88375.0,07/21/2010 12:00:00 AM,Osterman,6.3,10.9,8.3,41.9877,-87.6545
5116,103795.0,06/21/2006 12:00:00 AM,Oak Street,435.2,547.5,488.1,41.9032,-87.6235
5117,97870.0,07/17/2006 12:00:00 AM,12th Street,25.9,17.3,21.2,41.8638,-87.6083
5119,107042.0,08/01/2013 12:00:00 AM,57th Street,48.0,16.0,27.7,41.7911,-87.5797
5120,98601.0,06/11/2007 12:00:00 AM,57th Street,185.0,172.3,178.5,41.7911,-87.5797
5121,92112.0,08/27/2009 12:00:00 AM,12th Street,131.4,686.7,300.4,41.8638,-87.6083
5122,93309.0,07/10/2015 12:00:00 AM,Oak Street,3.0,9.0,5.2,41.9032,-87.6235
5125,97576.0,06/13/2011 12:00:00 AM,North Avenue,2.0,1.0,1.4,41.9148,-87.6273
5126,94444.0,08/05/2015 12:00:00 AM,Foster,82.0,96.0,88.7,41.9785,-87.6515
5128,114006.0,08/26/2016 07:05:00 AM,North Avenue,197.0,161.0,178.1,41.9148,-87.6273
5129,88218.0,06/04/2010 12:00:00 AM,57th Street,5.2,9.6,7.1,41.7911,-87.5797
5130,104559.0,06/14/2006 12:00:00 AM,Calumet,23.8,39.9,30.8,41.7142,-87.5299
5132,107259.0,06/28/2012 12:00:00 AM,Leone,20.1,14.2,16.9,42.0131,-87.6635
5134,105666.0,08/23/2012 12:00:00 AM,Foster,5.2,6.3,5.7,41.9785,-87.6515
5136,90272.0,06/28/2011 12:00:00 AM,Ohio Street,8.5,26.9,15.1,41.8935,-87.6152
5137,103067.0,06/27/2007 12:00:00 AM,57th Street,6.3,4.1,5.1,41.7911,-87.5797
5138,95108.0,06/01/2015 12:00:00 AM,Calumet,866.0,488.0,650.1,41.7142,-87.5299
5139,93367.0,07/13/2015 12:00:00 AM,South Shore,727.0,1986.0,1201.6,41.7689,-87.5636
5141,112508.0,08/03/2012 12:00:00 AM,Rainbow,24.6,27.9,26.2,41.758,-87.551
5142,91356.0,07/30/2009 12:00:00 AM,Osterman,137.6,150.7,144.0,41.9877,-87.6545
5143,93806.0,07/22/2015 12:00:00 AM,Ohio Street,548.0,3.0,40.5,41.8935,-87.6152
5145,102374.0,07/09/2008 12:00:00 AM,57th Street,21.8,15.8,18.6,41.7911,-87.5797
5146,98862.0,07/27/2007 12:00:00 AM,63rd Street,2419.6,2419.6,2419.6,41.7827,-87.5748
5147,98804.0,07/24/2007 12:00:00 AM,Lane,12.2,14.6,13.3,41.9877,-87.6545
5148,88617.0,08/02/2010 12:00:00 AM,Leone,1.0,1.0,1.0,42.0131,-87.6635
5150,91221.0,07/24/2009 12:00:00 AM,North Shore,40.8,33.6,37.0,42.0027,-87.6564
5151,102703.0,05/25/2006 12:00:00 AM,63rd Street,290.9,435.2,355.8,41.7827,-87.5748
5153,93030.0,07/02/2015 12:00:00 AM,Juneway,29.0,13.0,19.4,42.0224,-87.6674
5155,104333.0,08/01/2006 12:00:00 AM,Ohio Street,3.1,1.0,1.8,41.8935,-87.6152
5156,97626.0,06/15/2011 12:00:00 AM,Leone,96.0,36.8,59.4,42.0131,-87.6635
5157,104427.0,05/30/2007 12:00:00 AM,Oak Street,11.0,13.4,12.1,41.9032,-87.6235
5158,101742.0,08/31/2007 12:00:00 AM,63rd Street,260.3,307.6,283.0,41.7827,-87.5748
5159,93900.0,09/05/2014 12:00:00 AM,63rd Street,93.0,57.0,72.8,41.7827,-87.5748
