,DNA Test ID,DNA Sample Timestamp,Beach,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean,Latitude,Longitude
3,10601.0,06/03/2019 12:08:00 PM,63rd Street,15.0,121.0,42.6,41.7827,-87.5748
4,10600.0,06/03/2019 12:08:00 PM,South Shore,1006.0,16.0,126.9,41.7689,-87.5636
5,10582.0,06/03/2019 12:10:00 PM,North Avenue,69.0,8.0,23.5,41.9148,-87.6273
6,10646.0,06/03/2019 12:12:00 PM,Howard,90.0,169.0,123.3,42.0188,-87.6663
7,10599.0,06/03/2019 12:08:00 PM,Rainbow,150.0,245.0,191.7,41.758,-87.551
8,10603.0,06/03/2019 12:09:00 PM,Ohio Street,32.0,3.0,9.8,41.8935,-87.6152
9,10605.0,06/03/2019 12:07:00 PM,Calumet,142.0,81.0,107.2,41.7142,-87.5299
11,10625.0,06/03/2019 12:11:00 PM,Osterman,3.0,7.0,4.6,41.9877,-87.6545
12,10584.0,06/03/2019 12:10:00 PM,Foster,12.0,8.0,9.8,41.9785,-87.6515
13,10604.0,06/03/2019 12:10:00 PM,Oak Street,12.0,4.0,6.9,41.9032,-87.6235
14,10581.0,06/03/2019 12:09:00 PM,12th Street,246.0,125.0,175.4,41.8638,-87.6083
15,10580.0,06/03/2019 12:09:00 PM,Oakwood,13.0,4.0,7.2,41.8211,-87.5976
16,10645.0,06/03/2019 12:12:00 PM,Marion Mahony Griffin (Jarvis),77.0,6.0,21.5,42.0161,-87.6647
17,10627.0,06/03/2019 12:11:00 PM,Leone,81.0,218.0,132.9,42.0131,-87.6635
18,10626.0,06/03/2019 12:11:00 PM,Hartigan (Albion),34.0,17.0,24.0,42.0027,-87.6564
19,10602.0,06/03/2019 12:09:00 PM,Margaret T Burroughs (31st),32.0,12.0,19.6,41.8393,-87.6072
20,10579.0,06/03/2019 12:08:00 PM,57th Street,10.0,3.0,5.5,41.7911,-87.5797
26,10628.0,06/03/2019 12:12:00 PM,Rogers,4.0,8.0,5.7,42.0213,-87.6666
27,10583.0,06/03/2019 12:10:00 PM,Montrose,10.0,39.0,19.7,41.9655,-87.6385
29,10631.0,06/04/2019 12:13:00 PM,Oak Street,76.0,64.0,69.7,41.9032,-87.6235
30,10666.0,06/04/2019 12:12:00 PM,63rd Street,118.0,125.0,121.4,41.7827,-87.5748
32,10667.0,06/04/2019 12:12:00 PM,57th Street,332.0,396.0,362.6,41.7911,-87.5797
33,10635.0,06/04/2019 12:15:00 PM,Leone,57.0,13.0,27.2,42.0131,-87.6635
34,10668.0,06/04/2019 12:12:00 PM,Oakwood,12.0,4.0,6.9,41.8211,-87.5976
35,10675.0,06/04/2019 12:16:00 PM,Howard,58.0,4.0,15.2,42.0188,-87.6663
36,10633.0,06/04/2019 12:15:00 PM,Osterman,4.0,4.0,4.0,41.9877,-87.6545
37,10670.0,06/04/2019 12:13:00 PM,12th Street,120.0,71.0,92.3,41.8638,-87.6083
38,10672.0,06/04/2019 12:14:00 PM,North Avenue,191.0,115.0,148.2,41.9148,-87.6273
39,10629.0,06/04/2019 12:11:00 PM,Rainbow,1087.0,115.0,353.6,41.758,-87.551
40,10671.0,06/04/2019 12:13:00 PM,Ohio Street,590.0,122.0,268.3,41.8935,-87.6152
43,10636.0,06/04/2019 12:16:00 PM,Rogers,4.0,20.0,8.9,42.0213,-87.6666
